"body","longitude","longitude_string","longitude_30_string"
"chiron","197.743438218613","197°44'36""","17°44'36"""
"jupiter","197.452065718333","197°27'7""","17°27'7"""
"mars","146.775779088041","146°46'32""","26°46'32"""
"mercury","98.8584313047989","98°51'30""","8°51'30"""
"moon","261.199987502351","261°11'59""","21°11'59"""
"neptune","185.841890442363","185°50'30""","5°50'30"""
"pluto","130.042197343848","130°2'31""","10°2'31"""
"saturn","113.815546393064","113°48'55""","23°48'55"""
"sun","82.9280954937883","82°55'41""","22°55'41"""
"uranus","77.8929738870762","77°53'34""","17°53'34"""
"venus","115.737770296377","115°44'15""","25°44'15"""
