"body","natal_longitude","progressed_longitude","delta_forward_deg","delta_shortest_signed_deg","natal_sign","natal_degree","progressed_sign","progressed_degree"
"jupiter","197.452071889","205.551545667","8.099473778","8.099473778","Libra","17.45","Libra","25.55"
"mars","146.775944583","195.191131056","48.415186472","48.415186472","Leo","26.78","Libra","15.19"
"mercury","98.859034194","147.465098917","48.606064722","48.606064722","Cancer","8.86","Leo","27.47"
"moon","261.203814194","235.398103222","334.194289028","-25.805710972","Sagittarius","21.2","Scorpio","25.4"
"neptune","185.841946083","187.287226333","1.44528025","1.44528025","Libra","5.84","Libra","7.29"
"pluto","130.04209025","132.242149806","2.200059556","2.200059556","Leo","10.04","Leo","12.24"
"saturn","113.815608306","123.75672775","9.941119444","9.941119444","Cancer","23.82","Leo","3.76"
"sun","82.928402028","159.253201083","76.324799056","76.324799056","Gemini","22.93","Virgo","9.25"
"uranus","77.893081028","81.516817278","3.62373625","3.62373625","Gemini","17.89","Gemini","21.52"
"venus","115.738145111","205.368091861","89.62994675","89.62994675","Cancer","25.74","Libra","25.37"
