"from_object","to_object","aspect","actual_angle","exact_angle","orb","orb_limit","is_exact"
"directed:saturn","natal:pluto","sextile","60.098317","60","0.098317","1","TRUE"
"directed:Vertex","natal:mercury","square","89.63349","90","0.36651","1","FALSE"
"directed:sun","natal:mercury","sextile","60.394167","60","0.394167","1","FALSE"
"directed:pluto","natal:mars","sextile","59.590945","60","0.409055","1","FALSE"
"directed:mercury","natal:venus","sextile","59.445688","60","0.554312","1","FALSE"
"directed:pluto","natal:venus","square","90.628744","90","0.628744","1","FALSE"
"directed:IC","natal:pluto","opposition","179.366692","180","0.633308","1","FALSE"
"directed:Midheaven","natal:pluto","conjunction","0.633308","0","0.633308","1","FALSE"
"directed:neptune","natal:sun","opposition","179.238343","180","0.761657","1","FALSE"
"directed:Vertex","natal:pluto","trine","120.816547","120","0.816547","1","FALSE"
"directed:neptune","natal:moon","conjunction","0.962931","0","0.962931","1","FALSE"
