"house","longitude","sign","degree"
"1","149.958846361111","Leo","29.96"
"2","173.004190666667","Virgo","23"
"3","201.199416194444","Libra","21.2"
"4","234.35059875","Scorpio","24.35"
"5","269.341986166667","Sagittarius","29.34"
"6","301.743358972222","Aquarius","1.74"
"7","329.958846361111","Aquarius","29.96"
"8","353.004190666667","Pisces","23"
"9","21.1994161944444","Aries","21.2"
"10","54.35059875","Taurus","24.35"
"11","89.3419861666667","Gemini","29.34"
"12","121.743358972222","Leo","1.74"
