"house","longitude","sign","degree"
"1","132.994154055556","Leo","12.99"
"2","154.208433833333","Virgo","4.21"
"3","180.284176277778","Libra","0.28"
"4","212.487798055556","Scorpio","2.49"
"5","248.710654611111","Sagittarius","8.71"
"6","283.267264416667","Capricorn","13.27"
"7","312.994154055556","Aquarius","12.99"
"8","334.208433833333","Pisces","4.21"
"9","0.284176277777778","Aries","0.28"
"10","32.4877980555556","Taurus","2.49"
"11","68.7106546111111","Gemini","8.71"
"12","103.267264416667","Cancer","13.27"
