"house","longitude","sign","degree"
"1","176,354527361111","Virgo","26,35"
"2","201,42070075","Libra","21,42"
"3","231,503913138889","Scorpio","21,5"
"4","265,640127361111","Sagittarius","25,64"
"5","300,010786222222","Aquarius","0,01"
"6","330,603639944444","Pisces","0,6"
"7","356,354527361111","Pisces","26,35"
"8","21,42070075","Aries","21,42"
"9","51,5039131388889","Taurus","21,5"
"10","85,6401273611111","Gemini","25,64"
"11","120,010786222222","Leo","0,01"
"12","150,603639944444","Virgo","0,6"
