"body","natal_longitude","progressed_longitude","delta_forward_deg","delta_shortest_signed_deg","natal_sign","natal_degree","progressed_sign","progressed_degree"
"jupiter","210,746615694","211,689740611","0,943124917","0,943124917","Scorpio","0,75","Scorpio","1,69"
"mars","186,206527722","205,886976778","19,680449056","19,680449056","Libra","6,21","Libra","25,89"
"mercury","66,629350111","125,796315611","59,1669655","59,1669655","Gemini","6,63","Leo","5,8"
"moon","336,164249194","206,267896972","230,103647778","-129,896352222","Pisces","6,16","Libra","26,27"
"neptune","265,771091472","264,693829611","358,922738139","-1,077261861","Sagittarius","25,77","Sagittarius","24,69"
"pluto","204,239632361","204,259223","0,019590639","0,019590639","Libra","24,24","Libra","24,26"
"saturn","195,518935722","196,709843056","1,190907333","1,190907333","Libra","15,52","Libra","16,71"
"sun","82,052553556","123,76674075","41,714187194","41,714187194","Gemini","22,05","Leo","3,77"
"uranus","241,802293028","240,650253833","358,847960806","-1,152039194","Sagittarius","1,8","Sagittarius","0,65"
"venus","45,750116944","97,751739389","52,001622444","52,001622444","Taurus","15,75","Cancer","7,75"
