"from_object","to_object","aspect","actual_angle","exact_angle","orb","orb_limit","is_exact"
"directed:pluto","natal:moon","square","90,21043","90","0,21043","1","False"
"directed:pluto","natal:mars","sextile","59,747292","60","0,252708","1","False"
"directed:ARMC","natal:mercury","sextile","60,334506","60","0,334506","1","False"
"directed:North Node","natal:neptune","trine","120,578029","120","0,578029","1","False"
"directed:South Node","natal:neptune","sextile","59,421971","60","0,578029","1","False"
"directed:pluto","natal:mercury","opposition","179,324469","180","0,675531","1","False"
"directed:IC","natal:mercury","trine","119,275036","120","0,724964","1","False"
"directed:Midheaven","natal:mercury","sextile","60,724964","60","0,724964","1","False"
"directed:ARMC","natal:mars","sextile","59,242671","60","0,757329","1","False"
"directed:neptune","natal:mercury","trine","119,144071","120","0,855929","1","False"
"directed:North Node","natal:pluto","sextile","59,04657","60","0,95343","1","False"
"directed:South Node","natal:pluto","trine","120,95343","120","0,95343","1","False"
