"object_type","object","natal_longitude","directed_longitude","delta_forward_deg","natal_sign","natal_degree","directed_sign","directed_degree"
"chart_point","ARMC","85,249669139","126,963856333","41,714187194","Gemini","25,25","Leo","6,96"
"chart_point","Ascendant","176,354527361","218,068714556","41,714187194","Virgo","26,35","Scorpio","8,07"
"chart_point","Descendant","356,354527361","38,068714556","41,714187194","Pisces","26,35","Taurus","8,07"
"chart_point","IC","265,640127361","307,354314556","41,714187194","Sagittarius","25,64","Aquarius","7,35"
"chart_point","Midheaven","85,640127361","127,354314556","41,714187194","Gemini","25,64","Leo","7,35"
"chart_point","Vertex","350,665873806","32,380061","41,714187194","Pisces","20,67","Taurus","2,38"
"node","North Node","103,478875639","145,193062833","41,714187194","Cancer","13,48","Leo","25,19"
"node","South Node","283,478875639","325,193062833","41,714187194","Capricorn","13,48","Aquarius","25,19"
"planet","jupiter","210,746615694","252,460802889","41,714187194","Scorpio","0,75","Sagittarius","12,46"
"planet","mars","186,206527722","227,920714917","41,714187194","Libra","6,21","Scorpio","17,92"
"planet","mercury","66,629350111","108,343537306","41,714187194","Gemini","6,63","Cancer","18,34"
"planet","moon","336,164249194","17,878436389","41,714187194","Pisces","6,16","Aries","17,88"
"planet","neptune","265,771091472","307,485278667","41,714187194","Sagittarius","25,77","Aquarius","7,49"
"planet","pluto","204,239632361","245,953819556","41,714187194","Libra","24,24","Sagittarius","5,95"
"planet","saturn","195,518935722","237,233122917","41,714187194","Libra","15,52","Scorpio","27,23"
"planet","sun","82,052553556","123,76674075","41,714187194","Gemini","22,05","Leo","3,77"
"planet","uranus","241,802293028","283,516480222","41,714187194","Sagittarius","1,8","Capricorn","13,52"
"planet","venus","45,750116944","87,464304139","41,714187194","Taurus","15,75","Gemini","27,46"
